Hydroxyl/Alcohol: [OX2H]
Ether: [OD2]([#6])[#6]
Aldehyde: [CX3H1](=O)[#6]
Ketone: [CX3](=O)[#6]
Carboxylic-Acid: [CX3](=O)[OX2H1]
Ester: [CX3](=O)[OX2][#6]
Terminal-Methyl-Ester: [CX3](=O)[OX2][CH3]
Amine: [NX3;H2,H1;!$(NC=O)]
Amide: [NX3][CX3](=[OX1])[#6]
Benzene: c1ccccc1
Sulfonamide: S(=O)(=O)[NH2]
Thiol: [SX2H]
Nitrile: [NX1]#[CX2]
Nitro: [$([NX3](=O)=O),$([NX3+](=O)[O-])][!#8]
Azo: [NX2]=N
Hydrazine: [NX3][NX3]
Isonitrile: [CX1-]#[NX2+]
Imide: [CX3](=[OX1])[NX3H][CX3](=[OX1])
Sulfoxide: [$([#16X3]=[OX1]),$([#16X3+][OX1-])]
Sulfone: [$([#16X4](=[OX1])=[OX1]),$([#16X4+2]([OX1-])[OX1-])]
Phosphoric-Acid: P(=[OX1])([$([OX2H]),$([OX1-])][$([OX2H]),$([OX1-])][$([OX2H]),$([OX1-])])
Sulfenic-Acid: [#16X2][OX2H,OX1H0-]
Terminal-Alkyne: [CX2]#C
Aryl-Halide: c1ccccc1[F,Cl,Br,I]
Terminal-Alkene: [CX2]=[CXH2]
Thioester: [CX3](=O)[SX2][#6]
Isocyanate: [NX2]=[CX1]=[OX1]
Aldoxime: [CX3H1](=N[OH])[#6]
Carbamate: [NX3][CX3](=[OX1])[OX2H0]
Isothiocyanate: [NX2]=[CX1]=[SX1]
Phosphonate-Terminal: [PX4](=O)([OX2H])[OX2H0]
Haloalkane: [CX4][F,Cl,Br,I]
Diazo: [NX2]=[NX2]
Azide: [*]-[NX2-]-[NX2+]#[NX1]
Phenol: [OX2H]c1ccccc1
Thioether: [SX2][#6]
Carbamic-Acid: [NX3][CX3](=[OX1])[OX2H]
Urea: [NX3][CX3](=[OX1])[NX3]
Amidine: [CX3](=[NX2])[NX3]
Guanidine: [NX3][CX3](=[NX2])[NX3]
Sulfonic-Acid: S(=O)(=O)[OX2H]
Thiol-Ester: [CX3](=O)[SX2][#6]
Phosphine: [PX3]
Imine: [CX3]=[NX2]
Hydrazone: [NX2]=[CX3][NX3]
Sulfonic-Acid-Ester: S(=O)(=O)[OX2][#6]
Thiocyanate: [SX2][CX2]#N
Carbodiimide: [NX2]=[CX1]=[NX2]
Selenide: [Se][#6]
Acyl-Halide: [CX3](=[OX1])[F,Cl,Br,I]
Enamine: [NX3][CX3]=[CX2]
Boronic-Acid: [BX3]([OX2H])[OX2H]
Pyridine: n1ccccc1
Pyrrole: [nH]1cccc1
Oxime: [CX3]=[NX2][OX2H]
Cyclohexane: C1CCCCC1
